Date,Close
12/29/2016 16:00:00,116.35
12/30/2016 16:00:00,115.05
2017-03-01,116.86
2017-04-01,118.69
2017-05-01,120.67
2017-06-01,123.41
2017-09-01,124.9
2017-10-01,124.35
2017-11-01,126.09
2017-12-01,126.62
1/13/2017 16:00:00,128.34
1/17/2017 16:00:00,127.87
1/18/2017 16:00:00,127.92
1/19/2017 16:00:00,127.55
1/20/2017 16:00:00,127.04
1/23/2017 16:00:00,128.93
1/24/2017 16:00:00,129.37
1/25/2017 16:00:00,131.48
1/26/2017 16:00:00,132.78
1/27/2017 16:00:00,132.18
1/30/2017 16:00:00,130.98
1/31/2017 16:00:00,130.32
2017-01-02,133.23
2017-02-02,130.84
2017-03-02,130.98
2017-06-02,132.06
2017-07-02,131.84
2017-08-02,134.2
2017-09-02,134.14
2017-10-02,134.19
2/13/2017 16:00:00,134.05
2/14/2017 16:00:00,133.85
2/15/2017 16:00:00,133.44
2/16/2017 16:00:00,133.84
2/17/2017 16:00:00,133.53
2/21/2017 16:00:00,133.72
2/22/2017 16:00:00,136.12
2/23/2017 16:00:00,135.36
2/24/2017 16:00:00,135.44
2/27/2017 16:00:00,136.41
2/28/2017 16:00:00,135.54
2017-01-03,137.42
2017-02-03,136.76
2017-03-03,137.17
2017-06-03,137.42
2017-07-03,137.3
2017-08-03,137.72
2017-09-03,138.24
2017-10-03,138.79
3/13/2017 16:00:00,139.6
3/14/2017 16:00:00,139.32
3/15/2017 16:00:00,139.72
3/16/2017 16:00:00,139.99
3/17/2017 16:00:00,139.84
3/20/2017 16:00:00,139.94
3/21/2017 16:00:00,138.51
3/22/2017 16:00:00,139.59
3/23/2017 16:00:00,139.53
3/24/2017 16:00:00,140.34
3/27/2017 16:00:00,140.32
3/28/2017 16:00:00,141.76
3/29/2017 16:00:00,142.65
3/30/2017 16:00:00,142.41
3/31/2017 16:00:00,142.05
2017-03-04,142.28
2017-04-04,141.73
2017-05-04,141.85
2017-06-04,141.17
2017-07-04,140.78
2017-10-04,141.04
2017-11-04,139.92
2017-12-04,139.58
4/13/2017 16:00:00,139.39
4/17/2017 16:00:00,141.42
4/18/2017 16:00:00,140.96
4/19/2017 16:00:00,142.27
4/20/2017 16:00:00,143.8
4/21/2017 16:00:00,143.68
4/24/2017 16:00:00,145.47
4/25/2017 16:00:00,146.49
4/26/2017 16:00:00,146.56
4/27/2017 16:00:00,147.7
4/28/2017 16:00:00,150.25
2017-01-05,152.46
2017-02-05,152.78
2017-03-05,151.8
2017-04-05,150.85
2017-05-05,150.24
2017-08-05,151.06
2017-09-05,150.48
2017-10-05,150.29
2017-11-05,150.04
2017-12-05,150.33
5/15/2017 16:00:00,150.19
5/16/2017 16:00:00,149.78
5/17/2017 16:00:00,144.85
5/18/2017 16:00:00,147.66
5/19/2017 16:00:00,148.06
5/22/2017 16:00:00,148.24
5/23/2017 16:00:00,148.07
5/24/2017 16:00:00,150.04
5/25/2017 16:00:00,151.96
5/26/2017 16:00:00,152.13
5/30/2017 16:00:00,152.38
5/31/2017 16:00:00,151.46
2017-01-06,151.53
2017-02-06,153.61
2017-05-06,153.63
2017-06-06,152.81
2017-07-06,153.12
2017-08-06,154.71
2017-09-06,149.6
2017-12-06,148.44
6/13/2017 16:00:00,150.68
6/14/2017 16:00:00,150.25
6/15/2017 16:00:00,149.8
6/16/2017 16:00:00,150.64
6/19/2017 16:00:00,152.87
6/20/2017 16:00:00,152.25
6/21/2017 16:00:00,153.91
6/22/2017 16:00:00,153.4
6/23/2017 16:00:00,155.07
6/26/2017 16:00:00,153.59
6/27/2017 16:00:00,150.58
6/28/2017 16:00:00,153.24
6/29/2017 16:00:00,151.04
6/30/2017 16:00:00,150.98
2017-03-07,148.43
2017-05-07,150.34
2017-06-07,148.82
2017-07-07,151.44
2017-10-07,153.5
2017-11-07,155.27
2017-12-07,158.9
7/13/2017 16:00:00,159.26
7/14/2017 16:00:00,159.97
7/17/2017 16:00:00,159.73
7/18/2017 16:00:00,162.86
7/19/2017 16:00:00,164.14
7/20/2017 16:00:00,164.53
7/21/2017 16:00:00,164.43
7/24/2017 16:00:00,166
7/25/2017 16:00:00,165.28
7/26/2017 16:00:00,165.61
7/27/2017 16:00:00,170.44
7/28/2017 16:00:00,172.45
7/31/2017 16:00:00,169.25
2017-01-08,169.86
2017-02-08,169.3
2017-03-08,168.59
2017-04-08,169.62
2017-07-08,171.98
2017-08-08,171.23
2017-09-08,171.18
2017-10-08,167.4
2017-11-08,168.08
8/14/2017 16:00:00,170.75
8/15/2017 16:00:00,171
8/16/2017 16:00:00,170
8/17/2017 16:00:00,166.91
8/18/2017 16:00:00,167.41
8/21/2017 16:00:00,167.78
8/22/2017 16:00:00,169.64
8/23/2017 16:00:00,168.71
8/24/2017 16:00:00,167.74
8/25/2017 16:00:00,166.32
8/28/2017 16:00:00,167.24
8/29/2017 16:00:00,168.05
8/30/2017 16:00:00,169.92
8/31/2017 16:00:00,171.97
2017-01-09,172.02
2017-05-09,170.72
2017-06-09,172.09
2017-07-09,173.21
2017-08-09,170.95
2017-11-09,173.51
2017-12-09,172.96
9/13/2017 16:00:00,173.05
9/14/2017 16:00:00,170.96
9/15/2017 16:00:00,171.64
9/18/2017 16:00:00,170.01
9/19/2017 16:00:00,172.52
9/20/2017 16:00:00,172.17
9/21/2017 16:00:00,171.11
9/22/2017 16:00:00,170.54
9/25/2017 16:00:00,162.87
9/26/2017 16:00:00,164.21
9/27/2017 16:00:00,167.68
9/28/2017 16:00:00,168.73
9/29/2017 16:00:00,170.87
2017-02-10,169.47
2017-03-10,169.96
2017-04-10,168.42
2017-05-10,171.24
2017-06-10,172.23
2017-09-10,172.5
2017-10-10,171.59
2017-11-10,172.74
2017-12-10,172.55
10/13/2017 16:00:00,173.74
10/16/2017 16:00:00,174.52
10/17/2017 16:00:00,176.11
10/18/2017 16:00:00,176.03
10/19/2017 16:00:00,174.56
10/20/2017 16:00:00,174.98
10/23/2017 16:00:00,171.27
10/24/2017 16:00:00,171.8
10/25/2017 16:00:00,170.6
10/26/2017 16:00:00,170.63
10/27/2017 16:00:00,177.88
10/30/2017 16:00:00,179.87
10/31/2017 16:00:00,180.06
2017-01-11,182.66
2017-02-11,178.92
2017-03-11,178.92
2017-06-11,180.17
2017-07-11,180.25
2017-08-11,179.56
2017-09-11,179.3
2017-10-11,178.46
11/13/2017 16:00:00,178.77
11/14/2017 16:00:00,178.07
11/15/2017 16:00:00,177.95
11/16/2017 16:00:00,179.59
11/17/2017 16:00:00,179
11/20/2017 16:00:00,178.74
11/21/2017 16:00:00,181.86
11/22/2017 16:00:00,180.87
11/24/2017 13:00:00,182.78
11/27/2017 16:00:00,183.03
11/28/2017 16:00:00,182.42
11/29/2017 16:00:00,175.13
11/30/2017 16:00:00,177.18
2017-01-12,175.1
2017-04-12,171.47
2017-05-12,172.83
2017-06-12,176.06
2017-07-12,180.14
2017-08-12,179
2017-11-12,179.04
2017-12-12,176.96
12/13/2017 16:00:00,178.3
12/14/2017 16:00:00,178.39
12/15/2017 16:00:00,180.18
12/18/2017 16:00:00,180.82
12/19/2017 16:00:00,179.51
12/20/2017 16:00:00,177.89
12/21/2017 16:00:00,177.45
12/22/2017 16:00:00,177.2
12/26/2017 16:00:00,175.99
12/27/2017 16:00:00,177.62
12/28/2017 16:00:00,177.92
12/29/2017 16:00:00,176.46
2018-02-01,181.42
2018-03-01,184.67
2018-04-01,184.33
2018-05-01,186.85
2018-08-01,188.28
2018-09-01,187.87
2018-10-01,187.84
2018-11-01,187.77
2018-12-01,179.37
1/16/2018 16:00:00,178.39
1/17/2018 16:00:00,177.6
1/18/2018 16:00:00,179.8
1/19/2018 16:00:00,181.29
1/22/2018 16:00:00,185.37
1/23/2018 16:00:00,189.35
1/24/2018 16:00:00,186.55
1/25/2018 16:00:00,187.48
1/26/2018 16:00:00,190
1/29/2018 16:00:00,185.98
1/30/2018 16:00:00,187.12
1/31/2018 16:00:00,186.89
2018-01-02,193.09
2018-02-02,190.28
2018-05-02,181.26
2018-06-02,185.31
2018-07-02,180.18
2018-08-02,171.58
2018-09-02,176.11
2018-12-02,176.41
2/13/2018 16:00:00,173.15
2/14/2018 16:00:00,179.52
2/15/2018 16:00:00,179.96
2/16/2018 16:00:00,177.36
2/20/2018 16:00:00,176.01
2/21/2018 16:00:00,177.91
2/22/2018 16:00:00,178.99
2/23/2018 16:00:00,183.29
2/26/2018 16:00:00,184.93
2/27/2018 16:00:00,181.46
2/28/2018 16:00:00,178.32
2018-01-03,175.94
2018-02-03,176.62
2018-05-03,180.4
2018-06-03,179.78
2018-07-03,183.71
2018-08-03,182.34
2018-09-03,185.23
2018-12-03,184.76
3/13/2018 16:00:00,181.88
3/14/2018 16:00:00,184.19
3/15/2018 16:00:00,183.86
3/16/2018 16:00:00,185.09
3/19/2018 16:00:00,172.56
3/20/2018 16:00:00,168.15
3/21/2018 16:00:00,169.39
3/22/2018 16:00:00,164.89
3/23/2018 16:00:00,159.39
3/26/2018 16:00:00,160.06
3/27/2018 16:00:00,152.22
3/28/2018 16:00:00,153.03
3/29/2018 16:00:00,159.79
2018-02-04,155.39
2018-03-04,156.11
2018-04-04,155.1
2018-05-04,159.34
2018-06-04,157.2
2018-09-04,157.93
2018-10-04,165.04
2018-11-04,166.32
2018-12-04,163.87
4/13/2018 16:00:00,164.52
4/16/2018 16:00:00,164.83
4/17/2018 16:00:00,168.66
4/18/2018 16:00:00,166.36
4/19/2018 16:00:00,168.1
4/20/2018 16:00:00,166.28
4/23/2018 16:00:00,165.84
4/24/2018 16:00:00,159.69
4/25/2018 16:00:00,159.69
4/26/2018 16:00:00,174.16
4/27/2018 16:00:00,173.59
4/30/2018 16:00:00,172
2018-01-05,173.86
2018-02-05,176.07
2018-03-05,174.02
2018-04-05,176.61
2018-07-05,177.97
2018-08-05,178.92
2018-09-05,182.66
2018-10-05,185.53
2018-11-05,186.99
5/14/2018 16:00:00,186.64
5/15/2018 16:00:00,184.32
5/16/2018 16:00:00,183.2
5/17/2018 16:00:00,183.76
5/18/2018 16:00:00,182.68
5/21/2018 16:00:00,184.49
5/22/2018 16:00:00,183.8
5/23/2018 16:00:00,186.9
5/24/2018 16:00:00,185.93
5/25/2018 16:00:00,184.92
5/29/2018 16:00:00,185.74
5/30/2018 16:00:00,187.67
5/31/2018 16:00:00,191.78
2018-01-06,193.99
2018-04-06,193.28
2018-05-06,192.94
2018-06-06,191.34
2018-07-06,188.18
2018-08-06,189.1
2018-11-06,191.54
2018-12-06,192.4
6/13/2018 16:00:00,192.41
6/14/2018 16:00:00,196.81
6/15/2018 16:00:00,195.85
6/18/2018 16:00:00,198.31
6/19/2018 16:00:00,197.49
6/20/2018 16:00:00,202
6/21/2018 16:00:00,201.5
6/22/2018 16:00:00,201.74
6/25/2018 16:00:00,196.35
6/26/2018 16:00:00,199
6/27/2018 16:00:00,195.84
6/28/2018 16:00:00,196.23
6/29/2018 16:00:00,194.32
2018-02-07,197.36
2018-03-07,192.73
2018-05-07,198.45
2018-06-07,203.23
2018-09-07,204.74
2018-10-07,203.54
2018-11-07,202.54
2018-12-07,206.92
7/13/2018 16:00:00,207.32
7/16/2018 16:00:00,207.23
7/17/2018 16:00:00,209.99
7/18/2018 16:00:00,209.36
7/19/2018 16:00:00,208.09
7/20/2018 16:00:00,209.94
7/23/2018 16:00:00,210.91
7/24/2018 16:00:00,214.67
7/25/2018 16:00:00,217.5
7/26/2018 16:00:00,176.26
7/27/2018 16:00:00,174.89
7/30/2018 16:00:00,171.06
7/31/2018 16:00:00,172.58
2018-01-08,171.65
2018-02-08,176.37
2018-03-08,177.78
2018-06-08,185.69
2018-07-08,183.81
2018-08-08,185.18
2018-09-08,183.09
2018-10-08,180.26
8/13/2018 16:00:00,180.05
8/14/2018 16:00:00,181.11
8/15/2018 16:00:00,179.53
8/16/2018 16:00:00,174.7
8/17/2018 16:00:00,173.8
8/20/2018 16:00:00,172.5
8/21/2018 16:00:00,172.62
8/22/2018 16:00:00,173.64
8/23/2018 16:00:00,172.9
8/24/2018 16:00:00,174.65
8/27/2018 16:00:00,177.46
8/28/2018 16:00:00,176.26
8/29/2018 16:00:00,175.9
8/30/2018 16:00:00,177.64
8/31/2018 16:00:00,175.73
2018-04-09,171.16
2018-05-09,167.18
2018-06-09,162.53
2018-07-09,163.04
2018-10-09,164.18
2018-11-09,165.94
2018-12-09,162
9/13/2018 16:00:00,161.36
9/14/2018 16:00:00,162.32
9/17/2018 16:00:00,160.58
9/18/2018 16:00:00,160.3
9/19/2018 16:00:00,163.06
9/20/2018 16:00:00,166.02
9/21/2018 16:00:00,162.93
9/24/2018 16:00:00,165.41
9/25/2018 16:00:00,164.91
9/26/2018 16:00:00,166.95
9/27/2018 16:00:00,168.84
9/28/2018 16:00:00,164.46
2018-01-10,162.44
2018-02-10,159.33
2018-03-10,162.43
2018-04-10,158.85
2018-05-10,157.33
2018-08-10,157.25
2018-09-10,157.9
2018-10-10,151.38
2018-11-10,153.35
2018-12-10,153.74
10/15/2018 16:00:00,153.52
10/16/2018 16:00:00,158.78
10/17/2018 16:00:00,159.42
10/18/2018 16:00:00,154.92
10/19/2018 16:00:00,154.05
10/22/2018 16:00:00,154.78
10/23/2018 16:00:00,154.39
10/24/2018 16:00:00,146.04
10/25/2018 16:00:00,150.95
10/26/2018 16:00:00,145.37
10/29/2018 16:00:00,142.09
10/30/2018 16:00:00,146.22
10/31/2018 16:00:00,151.79
2018-01-11,151.75
2018-02-11,150.35
2018-05-11,148.68
2018-06-11,149.94
2018-07-11,151.53
2018-08-11,147.87
2018-09-11,144.96
2018-12-11,141.55
11/13/2018 16:00:00,142.16
11/14/2018 16:00:00,144.22
11/15/2018 16:00:00,143.85
11/16/2018 16:00:00,139.53
11/19/2018 16:00:00,131.55
11/20/2018 16:00:00,132.43
11/21/2018 16:00:00,134.82
11/23/2018 13:00:00,131.73
11/26/2018 16:00:00,136.38
